location,timestamp,percent_full
trashcan1,2025-03-03 21:28:15,0
trashcan1,2025-03-03 21:28:28,0
trashcan1,2025-03-03 21:28:41,0
trashcan1,2025-03-03 21:28:55,0
trashcan1,2025-03-03 21:29:08,0
trashcan1,2025-03-03 21:29:21,0
trashcan1,2025-03-03 21:29:35,0
trashcan1,2025-03-03 21:29:48,0
trashcan1,2025-03-03 21:30:01,0
trashcan1,2025-03-03 21:30:15,0
trashcan1,2025-03-03 21:30:28,0
trashcan1,2025-03-03 21:30:41,0
trashcan1,2025-03-03 21:30:54,0
trashcan1,2025-03-03 21:31:08,0
trashcan1,2025-03-03 21:31:21,0
trashcan1,2025-03-03 21:31:34,0
trashcan1,2025-03-03 21:31:48,0
trashcan1,2025-03-03 21:32:01,0
trashcan1,2025-03-03 21:32:14,0
trashcan1,2025-03-03 21:32:28,0
trashcan1,2025-03-03 21:32:41,0
trashcan1,2025-03-03 21:32:54,0
trashcan1,2025-03-03 21:33:07,0
trashcan1,2025-03-03 21:33:21,0
trashcan1,2025-03-03 21:33:34,0
trashcan1,2025-03-03 21:33:47,0
trashcan1,2025-03-03 21:34:01,0
trashcan1,2025-03-03 21:34:14,0
trashcan1,2025-03-03 21:34:27,0
trashcan1,2025-03-03 21:34:41,0
trashcan1,2025-03-03 21:34:54,1
trashcan1,2025-03-03 21:35:07,0
trashcan1,2025-03-03 21:35:21,0
trashcan1,2025-03-03 21:35:34,0
trashcan1,2025-03-03 21:35:47,0
trashcan1,2025-03-03 21:36:00,0
trashcan1,2025-03-03 21:36:14,0
trashcan1,2025-03-03 21:36:27,0
trashcan1,2025-03-03 21:36:40,0
trashcan1,2025-03-03 21:36:54,0
trashcan1,2025-03-03 21:37:07,0
trashcan1,2025-03-03 21:37:20,0
trashcan1,2025-03-03 21:37:34,0
trashcan1,2025-03-03 21:37:47,0
trashcan1,2025-03-03 21:38:00,0
trashcan1,2025-03-03 21:38:13,0
trashcan1,2025-03-03 21:38:27,0
trashcan1,2025-03-03 21:38:40,0
trashcan1,2025-03-03 21:38:53,0
trashcan1,2025-03-03 21:39:07,0
trashcan1,2025-03-03 21:39:20,0
trashcan1,2025-03-03 21:39:33,0
trashcan1,2025-03-03 21:39:47,0
trashcan1,2025-03-03 21:40:00,0
trashcan1,2025-03-03 21:40:13,0
trashcan1,2025-03-03 21:40:27,0
trashcan1,2025-03-03 21:40:40,0
trashcan1,2025-03-03 21:40:53,0
trashcan1,2025-03-03 21:41:06,0
trashcan1,2025-03-03 21:41:20,0
trashcan1,2025-03-03 21:41:33,0
trashcan1,2025-03-03 21:41:46,0
trashcan1,2025-03-03 21:42:00,0
trashcan1,2025-03-03 21:42:13,0
trashcan1,2025-03-03 21:42:26,0
trashcan1,2025-03-03 21:42:40,0
trashcan1,2025-03-03 21:42:53,0
trashcan1,2025-03-03 21:43:06,0
trashcan1,2025-03-03 21:43:20,0
trashcan1,2025-03-03 21:43:33,0
trashcan1,2025-03-03 21:43:46,0
trashcan1,2025-03-03 21:43:59,0
trashcan1,2025-03-03 21:44:13,0
trashcan1,2025-03-03 21:44:26,0
trashcan1,2025-03-03 21:44:39,0
trashcan1,2025-03-03 21:44:53,0
trashcan1,2025-03-03 21:45:06,0
trashcan1,2025-03-03 21:45:19,0
trashcan1,2025-03-03 21:45:33,0
trashcan1,2025-03-03 21:45:46,0
trashcan1,2025-03-03 21:45:59,0
trashcan1,2025-03-03 21:46:12,0
trashcan1,2025-03-03 21:46:26,0
trashcan1,2025-03-03 21:46:39,0
trashcan1,2025-03-03 21:46:52,0
trashcan1,2025-03-03 21:47:06,0
trashcan1,2025-03-03 21:47:19,0
trashcan1,2025-03-03 21:47:32,0
trashcan1,2025-03-03 21:47:46,0
trashcan1,2025-03-03 21:47:59,0
trashcan1,2025-03-03 21:48:12,0
trashcan1,2025-03-03 21:48:26,0
trashcan1,2025-03-03 21:48:39,0
trashcan1,2025-03-03 21:48:52,0
trashcan1,2025-03-03 21:49:05,0
trashcan1,2025-03-03 21:49:19,0
trashcan1,2025-03-03 21:49:32,0
trashcan1,2025-03-03 21:49:45,0
trashcan1,2025-03-03 21:49:59,0
trashcan1,2025-03-03 21:50:12,0
trashcan1,2025-03-03 21:50:25,0
trashcan1,2025-03-03 21:50:39,0
trashcan1,2025-03-03 21:50:52,0
trashcan1,2025-03-03 21:51:05,0
trashcan1,2025-03-03 21:51:18,0
trashcan1,2025-03-03 21:51:32,0
trashcan1,2025-03-03 21:51:45,0
trashcan1,2025-03-03 21:51:58,0
trashcan1,2025-03-03 21:52:12,0
trashcan1,2025-03-03 21:52:25,0
trashcan1,2025-03-03 21:52:38,0
trashcan1,2025-03-03 21:52:52,0
trashcan1,2025-03-03 21:53:05,0
trashcan1,2025-03-03 21:53:18,0
trashcan1,2025-03-03 21:53:31,0
trashcan1,2025-03-03 21:53:45,0
trashcan1,2025-03-03 21:53:58,0
trashcan1,2025-03-03 21:54:11,0
trashcan1,2025-03-03 21:54:25,0
trashcan1,2025-03-03 21:54:38,0
trashcan1,2025-03-03 21:54:51,0
trashcan1,2025-03-03 21:55:05,0
trashcan1,2025-03-03 21:55:18,0
trashcan1,2025-03-03 21:55:31,0
trashcan1,2025-03-03 21:55:45,0
trashcan1,2025-03-03 21:55:58,0
trashcan1,2025-03-03 21:56:11,0
